Назва продукту,Опис,Gustav (OG),Міцність (ABV),Гіркота (IBU),Google Shopping ID,Посилання
Пиво Опілля Export 1851 ПЕТ 1 л,"Світле пастеризоване пиво благородного бурштинового відтінку. Глибокий, гармонійний смак, солодові барви з винними натяками. Виразна хмелева гіркота.",11.5,4.7,18,cmclpsyck000xstlk6onaxjyl,https://opillia.com.ua/product/pivo-opillya-export-1851-pet-1l
"Пиво Opillia Export 1851 0,5 л (скло)","Світле пастеризоване пиво благородного бурштинового відтінку. Глибокий, гармонійний смак, солодові барви з винними натяками. Виразна хмелева гіркота.",11.5,4.7,18,cmclpui52003hstlk60xz5p7s,https://opillia.com.ua/product/pivo-opillia-export-1851-05l-zhb
"Пиво Opillia Export Lager 0,5 л (скло)","Класичний світлий лагер із лагідною душею. Смак оксамитовий, чистий, м'яким солодовими відтінками. Деліктаний, врівноважений післясмак з легкою гіркуватістю.",11%,4.4%,16,cmclpvdf8004gstlkxkcuhbj1,https://opillia.com.ua/product/pivo-opillia-export-lager-05-l-sklo
Опілля Корифей,"Класична пивна традиція з трьох складників: солоду, води та хмелю. Стриманий, зерновий аромат. Смак кришталево чистий, солодовий з лагідною хмелевою гіркуватістю.",11%,4.2%,15,cmclpwskq006estlkbsb3s5as,https://opillia.com.ua/product/pivo-opillya-korifey
Опілля Export Lager,"Класичний світлий лагер із лагідною душею. Смак оксамитовий, чистий, м'яким солодовими відтінками. Деліктаний, врівноважений післясмак з легкою гіркуватістю.",11%,4.4%,16,cmclpvdf8004gstlkxkcuhbj1,https://opillia.com.ua/product/pivo-opillia-export-lager
Опілля Корифей Нефільтроване,"Світле пиво, що дихає природністю. М'яка каламутність, багатий солодовий тон, виважена хмелева терпкість. Делікатна солодинка в післясмаку.",11%,4.2%,15,cmclpwsiv006dstlk0ex85cid,https://opillia.com.ua/product/pivo-opillya-korifey-nefiltrovane
Опілля Віденське,"Золото у келиху, мов вранішнє сонце. Колір сяє бурштином. Смак це поєднання м'якого солодового тепла з делікатною гірчинкою хмелю.",11%,4.1%,13,cmclpuwj5003ystlkkpkt6s5h,https://opillia.com.ua/product/pivo-opillya-videnske
Опілля Класичне,"Втілення вірності рецептурі з трьома сортами хмелю. Смак лагідний, солодовий з витонченим натяком на гіркоту. Гармонійно підтримує букет.",11%,4.1%,11,cmclpwlgp0064stlkd54aahl6,https://opillia.com.ua/product/pivo-opillya-klasichne
Опілля Біле,Ароматна ода легкості та витонченості. Нефільтроване пиво з ніжним смаком пшеничного солоду. Фруктові відтінки з ароматами коріандру.,11%,4.0%,12,cmclpwfwv005xstlkoatofrp8,https://opillia.com.ua/product/pivo-opillya-bile
Опілля Безалкогольне,Живе пиво зі збереженою душею напою без алкоголю. Технологія призупиненого бродіння. Природний смак і дух пивної традиції.,-,< 0.5%,-,cmclpwc1x005qstlk16k7cazz,https://opillia.com.ua/product/pivo-opillya-bezalkogolne
Опілля Різдвяне,Пиво що вариться лише раз на рік у сезон святкового затишку. Смак мелодія темного солоду з нотами кориці що зігріває душу.,12%,4.8%,12,cmgt7od2v0002nv40830k6xk2,https://opillia.com.ua/product/pivo-opillya-rizdvyane
Опілля Фірмове,"Справжній діамант серед пивних шедеврів. Densidade вражає, аромат спокушає. Смак нагадує благородне вино витримане й насичене.",16%,6.5%,21,cmclpwc1x005qstlk16k7cazz,https://opillia.com.ua/product/pivo-opillya-firmove
Опілля Світле,Класика перевірена часом. М'якість та чистота смаку ячмінного солоду. Ароматний український хміль надає витончену легку гірчинку.,10.7%,4.3%,12,cmclpwfwv005xstlkoatofrp8,https://opillia.com.ua/product/pivo-opillya-svitle
Опілля Міцне,Втілення справжної сили. У кожній краплі відлуння могутніх паростків ячменю. Характер українського хмелю.,15.5%,7%,20,cmclpwa79005mstlk4w3g7bvh,https://opillia.com.ua/product/pivo-opillya-mitsne
"Пиво Опілля Міцне 0,5 л (скло)",Втілення справжної сили. У кожній краплі відлуння могутніх паростків ячменю. Характер українського хмелю.,15.5%,7%,20,cmclpwa7n005nstlk736ok3ac,https://opillia.com.ua/product/pivo-opillya-mitsne-05l-sklo
Пиво Опілля Міцне ПЕТ 1 л,Втілення справжної сили. У кожній краплі відлуння могутніх паростків ячменю. Характер українського хмелю.,15.5%,7%,20,cmclpwa79005mstlk4w3g7bvh,https://opillia.com.ua/product/pivo-opillya-mitsne-pet-1l
Опілля Різдвяне Зимова Вишня,Обмежений сорт народжується перед Різдвом. Подих зимової казки. Карамельно-вишнева насолода з легкою гіркинкою.,12%,4.8%,12,cmclpwc1x005qstlk16k7cazz,https://opillia.com.ua/product/pivo-opillya-rizdvyane-zimova-vishnya
Опілля Портер,Благородне темне пиво де глибина солодових тонів переплітається з ніжною гіркотою. Витримане 68 днів для досягнення ідеального балансу.,18%,8%,30,cmclpwc1x005qstlk16k7cazz,https://opillia.com.ua/product/pivo-opillya-porter
Opillia Export Zero,Освіжаючий подих свободи для тих хто прагне смаку справжнього пива без алкоголю. Легкість чистота й щира відданість хмільному аромату.,-,< 0.5%,26,cmclpwfwv005xstlkoatofrp8,https://opillia.com.ua/product/opillia-export-zero
Opillia Export Dunkel,Класика темного рубінового лагеру насиченого але м'якого. Гармонія карамельної глибини з помірною хмільною гіркуватістю.,12%,4.8%,13,cmclpwc1x005qstlk16k7cazz,https://opillia.com.ua/product/opillia-export-dunkel
Опілля Хмелевар,Світлий фільтрований напій для справжніх знавців хмелевого caratteru. Гармонійно переплітаються насичений аромат і виразна гіркота.,11%,4.2%,15,cmclpwskq006estlkbsb3s5as,https://opillia.com.ua/product/pivo-opillya-khmelevat
Корифей Односолодове,Світле пиво народжене з єдиного сорту ячмінного солоду. Поезія у золотому келиху де чистота інгредієнтів зустрічається з точністю майстерності.,13%,5.0%,24,cmclpwskq006estlkbsb3s5as,https://opillia.com.ua/product/korifey-odnosolodove
Опілля Білий Келих,Нефільтроване пиво щедре на смак. Шовковиста майже кремова структура але п'ється напрочуд легко. Пшеничні ноти.,11.5%,5.0%,10,cmclpwfwv005xstlkoatofrp8,https://opillia.com.ua/product/pivo-opillya-biliy-kelikh
"Пиво Опілля Корифей 0,5 л (скло)","Класична пивна традиція з трьох складників: солоду, води та хмелю. Стриманий, зерновий аромат. Смак кришталево чистий, солодовий з лагідною хмелевою гіркуватістю.",11%,4.2%,15,cmclpwlgp0064stlkd54aahl6,https://opillia.com.ua/product/pivo-opillya-korifey-05-l-sklo
Пиво Опілля Корифей ПЕТ 1 л,"Класична пивна традиція з трьох складників: солоду, води та хмелю. Стриманий, зерновий аромат. Смак кришталево чистий, солодовий з лагідною хмелевою гіркуватістю.",11%,4.2%,15,cmclpwskq006estlkbsb3s5as,https://opillia.com.ua/product/pivo-opillya-korifey-pet-1l
Пиво Опілля Корифей Нефільтроване ПЕТ 1 л,"Світле пиво, що дихає природністю. М'яка каламутність, багатий солодовий тон, виважена хмелева терпкість. Делікатна солодинка в післясмаку.",11%,4.2%,15,cmclpwsiv006dstlk0ex85cid,https://opillia.com.ua/product/pivo-opillya-korifey-nefiltrovane-pet-1l
"Пиво Опілля Світле 0,5 л (скло)",Класика перевірена часом. М'якість та чистота смаку ячмінного солоду. Ароматний український хміль надає витончену легку гірчинку.,10.7%,4.3%,12,cmclpwfwv005xstlkoatofrp8,https://opillia.com.ua/product/pivo-opillya-svitle-05l-sklo
Пиво Опілля Світле ПЕТ 1 л,Класика перевірена часом. М'якість та чистота смаку ячмінного солоду. Ароматний український хміль надає витончену легку гірчинку.,10.7%,4.3%,12,cmclpwfwv005xstlkoatofrp8,https://opillia.com.ua/product/pivo-opillya-svitle-pet-1l
"Пиво Опілля Класичне 0,5 л (скло)","Втілення вірності рецептурі з трьома сортами хмелю. Смак лагідний, солодовий з витонченим натяком на гіркоту. Гармонійно підтримує букет.",11%,4.1%,11,cmclpwlgp0064stlkd54aahl6,https://opillia.com.ua/product/pivo-opillya-klasichne-05l-sklo
Пиво Опілля Класичне ПЕТ 1 л,"Втілення вірності рецептурі з трьома сортами хмелю. Смак лагідний, солодовий з витонченим натяком на гіркоту. Гармонійно підтримує букет.",11%,4.1%,11,cmclpwlgp0064stlkd54aahl6,https://opillia.com.ua/product/pivo-opillya-klasichne-pet-1l
"Пиво Опілля Віденське 0,5 л (скло)","Золото у келиху, мов вранішнє сонце. Колір сяє бурштином. Смак це поєднання м'якого солодового тепла з делікатною гірчинкою хмелю.",11%,4.1%,13,cmclpuwj5003ystlkkpkt6s5h,https://opillia.com.ua/product/pivo-opillya-videnske-05l-sklo
Пиво Опілля Віденське ПЕТ 2 л,"Золото у келиху, мов вранішнє сонце. Колір сяє бурштином. Смак це поєднання м'якого солодового тепла з делікатною гірчинкою хмелю.",11%,4.1%,13,cmclpuxj4003zstlkhmmuixoo,https://opillia.com.ua/product/pivo-opillya-videnske-pet-2-l
"Пиво Опілля Різдвяне 0,5 л (скло)",Пиво що вариться лише раз на рік у сезон святкового затишку. Смак мелодія темного солоду з нотами кориці що зігріває душу.,12%,4.8%,12,cmgt7od2v0002nv40830k6xk2,https://opillia.com.ua/product/pivo-opillya-rizdvyane-05l-sklo
Пиво Опілля Різдвяне ПЕТ 1 л,Пиво що вариться лише раз на рік у сезон святкового затишку. Смак мелодія темного солоду з нотами кориці що зігріває душу.,12%,4.8%,12,cmgt7od2v0002nv40830k6xk2,https://opillia.com.ua/product/pivo-opillya-rizdvyane-pet-1l
"Пиво Опілля Портер 0,5 л (скло)",Благородне темне пиво де глибина солодових тонів переплітається з ніжною гіркотою. Витримане 68 днів для досягнення ідеального балансу.,18%,8%,30,cmclpwc1x005qstlk16k7cazz,https://opillia.com.ua/product/pivo-opillya-porter-05l-sklo
